Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
201100000001,0,02,000,00,2,1,17,A01
201100000001,0,07,000,00,0,6,15,B02
201100000002,0,10,000,00,2,2,10,A01
201100000002,0,33,000,00,2,1,01,B02
201100000003,0,07,000,00,1,3,01,A01
201100000004,0,01,000,00,2,0,01,A01
201100000004,0,01,000,00,2,0,01,B02
201100000004,0,07,000,00,9,1,15,C03
201100000005,1,07,000,00,1,2,01,A01
201100000006,0,01,000,01,0,1,00,A01
201100000006,0,07,000,00,0,4,23,B02
201100000007,0,33,000,00,2,8,02,B02
201100000007,0,07,000,00,2,5,12,A01
201100000008,0,10,000,00,0,8,10,A01
201100000008,0,33,000,00,2,1,17,B02
201100000009,0,10,000,08,0,2,01,A01
201100000010,0,07,000,00,1,5,04,A01
201100000011,0,33,000,13,0,1,01,A01
201100000012,0,07,000,00,2,8,20,A01
201100000012,0,10,000,00,2,3,01,B02
201100000013,0,07,000,06,0,2,15,A01
201100000014,0,30,000,00,2,1,01,A01
201100000014,0,30,000,00,2,1,01,B02
201100000015,0,07,000,00,1,2,01,A01
201100000016,0,07,000,00,2,2,02,A01
201100000016,0,07,000,00,2,6,02,B02
201100000017,0,07,000,00,2,8,15,A01
201100000017,0,33,000,00,2,1,01,B02
201100000018,0,07,000,00,0,1,13,A01
201100000018,0,14,000,00,0,1,01,B02
201100000019,0,07,000,02,0,2,01,A01
201100000020,0,01,000,00,2,2,01,B02
201100000020,0,07,000,00,2,8,24,A01
201100000021,0,07,000,00,2,1,17,A01
201100000021,0,07,000,00,2,1,01,B02
201100000022,0,07,000,00,2,3,01,A01
201100000022,0,01,000,00,2,3,01,B02
201100000023,0,07,000,00,2,3,13,A01
201100000023,0,07,000,13,2,8,01,B02
201100000024,0,07,000,00,2,3,13,A01
201100000024,0,17,000,00,2,3,01,B02
201100000024,0,10,000,00,2,2,01,C03
201100000025,0,07,000,13,0,3,01,A01
201100000026,0,07,000,08,0,2,01,A01
201100000027,0,07,000,00,0,6,10,A01
201100000027,0,02,000,01,2,1,01,B02
201100000028,0,30,000,00,2,8,01,B02
201100000028,0,07,000,00,2,3,15,A01
201100000029,0,07,000,00,1,2,01,A01
201100000030,0,07,000,00,2,1,01,A01
201100000030,1,31,000,00,2,1,05,B02
201100000031,0,07,000,08,0,8,01,A01
201100000032,0,07,000,01,1,2,01,A01
201100000032,0,07,000,00,2,7,24,B02
201100000033,0,38,000,00,1,6,20,A01
201100000034,0,07,000,00,2,7,02,A01
201100000034,0,02,000,00,2,8,02,B02
201100000035,0,17,000,00,0,4,02,B02
201100000035,0,01,000,00,2,1,02,A01
201100000036,0,07,000,08,0,1,00,A01
201100000037,0,07,000,00,2,2,17,A01
201100000037,0,01,000,00,2,4,13,B02
201100000038,0,07,000,00,2,2,17,A01
201100000038,0,07,000,00,2,6,15,B02
201100000039,0,07,000,00,2,3,11,A01
201100000039,0,07,000,00,2,2,01,B02
201100000040,0,07,000,13,0,2,01,A01
201100000041,0,33,000,00,2,1,01,B02
201100000041,0,10,000,00,2,3,15,A01
201100000042,0,07,000,00,1,3,01,A01
201100000043,0,33,000,00,2,1,01,B02
201100000043,0,07,000,00,2,8,15,A01
201100000044,0,07,000,00,2,3,02,A01
201100000044,0,01,000,00,0,0,00,B02
201100000045,0,07,000,13,0,1,01,A01
201100000046,0,07,000,00,2,3,09,A01
201100000046,0,33,000,00,2,1,01,B02
201100000047,0,07,000,13,0,1,01,A01
201100000048,0,07,000,13,0,1,13,A01
201100000049,0,07,000,00,0,6,15,B02
