Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201300000001,13,2,19,1715,1,2,1,1,3,052,50 Rue de la Gare,M,5051199,0290046,590
201300000002,13,3,22,1815,1,1,1,1,6,303,Rte Nationale,M,5057012,0285665,590
201300000003,13,4,1,1600,1,1,1,1,1,524,Rue du 08 Mai,M,5057551,0290108,590
201300000004,13,4,19,1330,1,2,1,1,7,388,rue du Moisnil,M,5055123,0285591,590
201300000005,13,4,27,2015,1,2,1,1,6,250,50 Rue Bonne Espérance,M,5058871,0289037,590
201300000006,13,5,25,1645,1,1,1,1,3,524,Rue du 8 Mai,M,5057455,0289941,590
201300000007,13,6,17,830,1,1,6,1,7,653,GIRATOIRE RN 41 / RD145,M,5058432,0290833,590
201300000008,13,7,3,130,4,2,1,3,6,257,ROUTE D HERLIES,M,5060445,0285308,590
201300000009,13,8,15,1930,1,1,1,1,2,320,NATIONALE  ( ROUTE),M,5056300,0283800,590
201300000010,13,9,4,115,3,2,6,1,6,051,Rte de Lille,M,5054131,0281936,590
201300000011,13,12,7,945,1,2,1,1,6,051,rue Jean Baptiste Lebas,M,0000000,0000000,590
201300000012,13,4,11,815,1,1,1,2,6,071,05 rue de la Carcasse,M,5047119,0314086,590
201300000013,13,6,5,1545,1,1,1,1,3,034,Rte départementale,M,5054012,0307284,590
201300000014,13,6,7,1815,1,1,1,1,3,466,rue d'Avelin,M,5052635,0310415,590
201300000015,13,3,4,900,1,2,1,1,7,592,14 Rue Pierre Brossolett,M,5047170,0306917,590
201300000016,13,5,11,1530,1,2,1,2,3,592,rue Léo Lagrange,M,0000000,0000000,590
201300000017,13,5,13,1800,1,2,3,1,3,452,193 Ave Maréchal Leclerc,M,,,590
201300000018,13,6,17,2145,2,1,1,1,7,630,,M,5046821,0302304,590
201300000019,13,7,21,715,1,2,1,1,6,452,256 rue Emile Zola,M,5045080,0303743,590
201300000020,13,7,25,1915,1,2,9,1,5,452,315 Rue Florent EVRARD,M,5045754,0303307,590
201300000021,13,8,3,1000,1,2,1,1,7,452,Rue du Prof Calmette,M,5046030,0302200,590
201300000022,13,9,5,1745,1,2,1,1,7,452,Av du Maréchal Leclerc,M,5045796,0302752,590
201300000023,13,12,5,700,2,1,1,9,7,592,Rue Emile Zola,M,5047946,0307460,590
201300000024,13,5,8,1215,1,1,2,1,3,130,,M,5089681,0223755,590
201300000025,13,5,3,1315,1,1,1,1,7,663,route de WYLDER,M,5089935,0248959,590
201300000026,13,7,15,1645,1,2,1,7,6,210,22 rue de Bergues,M,5088696,0243254,590
201300000027,13,9,1,1100,1,1,1,1,1,089,Rte de Saint-Omer,M,5084681,0233245,590
201300000028,13,1,3,1930,3,1,1,2,4,416,60 Le Grand HASARD,M,5070614,0252580,590
201300000029,13,1,16,1830,5,2,1,4,6,634,"D642, route nationale",M,5072975,0247554,590
201300000030,13,3,20,1730,1,1,1,1,6,416,"Lieu dit ""Le Grd HAZARD""",M,5070596,0252565,590
201300000031,13,3,27,2045,3,1,1,1,2,416,Lieu dit la drève du mil,M,5066329,0252534,590
201300000032,13,4,14,915,1,1,1,1,6,469,27 rue du Cateau,M,5074097,0261988,590
201300000033,13,5,14,1415,1,2,1,1,6,497,94 Rue de Saint-Omer,M,5073069,0236252,590
201300000034,13,5,18,1630,1,1,1,1,6,084,,M,5069768,0246349,590
201300000035,13,6,4,1015,1,1,1,1,6,497,rue de Thérouanne,M,5071759,0237675,590
201300000036,13,6,16,200,3,1,1,1,7,084,Rte Nationale,M,5068474,0237396,590
201300000037,13,6,30,1915,1,1,1,1,5,120,Route de BAILLEUL,M,5075451,0263612,590
201300000038,13,8,13,1730,1,1,1,1,1,084,rue de Saint-Omer,M,5070210,0242089,590
201300000039,13,10,25,730,2,1,1,2,2,308,Rte d'Hazebrouck,M,5074426,0252601,590
201300000040,13,6,30,1600,1,1,1,1,3,401,3146 rte d Mont des Cats,M,5076390,0266835,590
201300000041,13,2,13,730,2,1,1,1,3,581,67 Rue du Musée,M,5069908,0276821,590
201300000042,13,2,15,1730,2,2,1,1,3,268,48 rue de la Gendarmerie,M,5063785,0271914,590
201300000043,13,7,7,1100,1,1,1,1,7,581,Rue de la Place Brûlée,M,5067441,0275230,590
201300000044,13,7,30,1900,1,1,1,2,5,268,2426 Rue du Grand Chemin,M,5062061,0274462,590
201300000045,13,8,25,1615,1,2,3,7,3,212,Rue de Lille,M,5064343,0272985,590
201300000046,13,10,24,1915,3,1,1,2,3,581,le Grand Chemin,M,5069292,0275595,590
201300000047,13,11,9,1100,1,1,1,1,1,180,rue de la Roestrate,M,5069183,0267081,590
201300000048,13,6,11,1700,1,1,1,1,7,423,rue d'Estaires,M,5067544,0265633,590
201300000049,13,9,2,1800,1,1,1,1,1,400,486 Rte d'Estaires,M,5064278,0267879,590
201300000050,13,10,4,800,1,2,1,1,1,400,Rue Duhamel Liard,M,5063939,0263502,590
201300000051,13,11,4,1845,5,2,1,1,6,400,4 rue des Prêtres,M,5064288,0263754,590
201300000052,13,1,12,1045,1,1,1,1,6,454,Rue de la Longue Croix,M,5077807,0245827,590
201300000053,13,1,24,445,3,1,1,9,6,262,Route de Poperinghe,M,5081350,0266609,590
201300000054,13,3,10,1700,2,1,1,2,6,135,Ave Achille Samyn,M,5080074,0247242,590
201300000055,13,3,11,1700,1,2,6,4,6,546,Rond point de l'hazewind,M,5077412,0256235,590
201300000056,13,5,12,1600,1,2,1,1,7,135,rue d'aire,M,5079363,0248167,590
201300000057,13,6,6,1030,1,1,1,1,7,135,Ave Achille SAMYN,M,5080071,0247129,590
201300000058,13,6,9,2330,3,1,1,1,6,189,Route de l'Hazewynde,M,5077624,0257814,590
201300000059,13,6,29,1400,1,1,1,1,7,436,chemin du Ton,M,5080470,0240803,590
201300000060,13,8,3,1530,1,1,1,1,3,318,Rte Nationale,M,5086173,0257090,590
201300000061,13,8,4,845,1,1,6,1,7,580,Rte de Poperinghe,M,5081154,0261393,590
201300000062,13,8,21,1000,1,1,1,1,3,546,Rte de Steenvoorde,M,5078438,0256454,590
201300000063,13,8,21,1945,1,1,1,1,6,587,Rte d'Hazebrouck,M,5080333,0257769,590
201300000064,13,9,27,1900,1,2,1,1,1,135,34 r Bollaert le Gavrian,M,5080217,0247908,590
201300000065,13,1,8,2100,5,2,1,1,6,660,110 rue Louis Clermont,M,5063285,0325205,590
201300000066,13,3,15,1415,1,1,1,8,1,044,Rue de Saint-Amand,M,5059635,0323009,590
201300000067,13,4,12,1545,1,2,1,1,1,660,19 rue de la République,M,5062940,0323795,590
201300000068,13,6,12,1815,1,2,1,1,1,602,19 route Nationale,M,5060966,0318216,590
201300000069,13,7,21,2130,2,2,1,1,7,660,125 r J Baptiste Lebas,M,5063159,0323545,590
201300000070,13,4,28,1730,1,1,1,1,6,168,chemin du bois,M,5056147,0322013,590
201300000071,13,5,31,1345,1,1,1,1,1,523,2300 rue de Lille,M,5058999,0315599,590
201300000072,13,8,9,1745,1,1,1,7,7,258,Rte de Cobrieux,M,5053692,0322138,590
201300000073,13,8,29,1845,1,1,1,1,1,168,Rte de Genech,M,5054257,0320943,590
201300000074,13,11,26,830,2,2,1,8,3,258,rue connynck,M,0000000,0000000,590
201300000075,13,5,16,815,1,1,1,2,3,611,Rue de Messines,M,5067859,0301107,590
201300000076,13,6,26,1615,5,1,1,1,6,611,rte de Lambersart,M,5066472,0300977,590
201300000077,13,12,3,2000,3,1,1,5,1,252,,M,0000000,0000000,590
201300000078,13,12,25,1300,1,1,1,1,3,173,,M,5073500,0295000,590
201300000079,13,3,11,1145,1,1,1,4,6,559,,M,5035197,0362403,590
201300000080,13,3,29,1145,1,1,1,1,3,038,Rte départementale,M,5026055,0336319,590
201300000081,13,12,14,1745,5,2,1,8,1,092,ave John Fitzgerald Kenn,M,5028584,0331475,590
201300000082,13,2,18,1530,1,1,1,1,3,181,,M,0000000,0000000,590
201300000083,13,3,16,2345,3,1,2,2,3,529,Carrefour de l'espèrance,M,5018121,0391836,590
201300000084,13,4,22,1000,1,1,1,7,1,181,Rte Nationale,M,5018196,0395219,590
201300000085,13,5,7,1100,1,2,1,1,1,036,avenue de la gare,M,5012651,0393201,590
201300000086,13,7,28,1945,1,1,1,1,6,093,Rte d'Avesnes,M,5008057,0388814,590
201300000087,13,12,18,1645,2,2,1,1,1,078,Route nationale,M,5016386,0401899,590
201300000088,13,1,30,2200,5,2,1,1,6,659,10 RUE DE VERDUN,M,5001515,0401228,590
201300000089,13,4,28,1530,1,2,1,1,1,249,RUE SAINT LOUIS,M,5001523,0404727,590
201300000090,13,6,3,1015,1,2,1,1,6,659,20 rue Edmond Koral,M,5002719,0401457,590
201300000091,13,6,10,1700,1,1,1,1,3,249,,M,5002881,0402826,590
201300000092,13,8,15,1115,1,2,1,1,1,659,23 rue de Verdun,M,5001505,0401340,590
201300000093,13,9,22,1845,1,2,1,1,3,249,rue Fernand Pêcheux,M,5001681,0406773,590
201300000094,13,9,24,1830,1,2,1,1,2,659,62 rue de verdun,M,5001783,0402647,590
201300000095,13,11,2,345,5,2,1,2,6,249,7 rue des Rouets,M,5001427,0404379,590
201300000096,13,8,11,330,3,1,1,1,6,331,route d'happegarbes,M,5011771,0364900,590
201300000097,13,8,16,1700,1,2,1,1,2,331,1 Av d la Légion d'Honne,M,5012677,0368774,590
201300000098,13,8,21,1615,1,2,1,1,3,331,place des anglais,M,5013100,0368900,590
201300000099,13,8,21,2000,1,1,1,1,7,384,rue du Faux,M,5013088,0379392,590
201300000100,13,8,22,1700,1,1,1,1,2,353,Rte départementale,M,5024071,0371279,590
201300000101,13,9,6,1530,1,2,1,1,3,331,Avenue villars,M,5012356,0369209,590
201300000102,13,9,7,2000,3,1,1,1,6,461,Lieu dit Les Hayettes,M,5008693,0380811,590
201300000103,13,5,18,1300,1,2,1,1,3,562,Rue de Ramousies,M,5012026,0400142,590
201300000104,13,10,26,530,5,2,1,2,6,601,rue victor hugo,M,5005856,0410583,590
201300000105,13,11,23,1530,1,1,1,1,3,562,Rue Nationale,M,5009269,0399106,590
201300000106,13,12,3,1515,1,2,1,1,6,601,1 rue des champs,M,5005759,0410572,590
201300000107,13,3,22,2045,3,2,1,1,7,552,CD643,M,5020980,0318999,590
201300000108,13,4,13,1300,1,2,1,1,6,322,28 rue Pasteur,M,5023707,0331843,590
201300000109,13,6,4,1330,1,1,3,1,1,552,,M,5021602,0318108,590
201300000110,13,1,8,700,2,1,1,1,3,604,,M,5011654,0348667,590
201300000111,13,1,27,400,3,1,1,9,7,055,Rue de Catillon,M,5008697,0359701,590
201300000112,13,2,9,515,5,2,1,5,6,136,rue du Maréchale Mortier,M,5010269,0354420,590
201300000113,13,2,12,1500,1,1,1,1,6,465,27 rue du Cateau,M,5011192,0359437,590
201300000114,13,7,21,300,5,2,1,1,6,412,Chaussée Brunehaut,M,5011927,0354079,590
201300000115,13,9,4,1915,1,2,1,7,1,137,9 Ave de la Groise,M,5007652,0364929,590
201300000116,13,11,1,45,5,2,1,1,6,498,chaussée Brunéhaut,M,5008512,0348444,590
201300000117,13,1,10,1200,1,2,1,1,6,139,40 Rue Chanzy,M,5012010,0340660,590
201300000118,13,2,1,1745,5,2,1,2,1,139,rue charles gide,M,5011034,0340249,590
201300000119,13,2,26,1630,1,2,1,1,3,139,42 Boulevard Jean Jaurès,M,5012159,0340461,590
201300000120,13,5,4,1130,1,1,1,1,1,614,,M,5016939,0346007,590
201300000121,13,6,28,1115,1,2,1,1,6,139,rue jusles guesde,M,5012625,0340720,590
201300000122,13,8,7,10,5,2,1,1,1,139,136 rue de Saint-Quentin,M,5011910,0341120,590
201300000123,13,9,6,1330,1,2,1,1,3,139,Avenue Jean Moulin,M,5012575,0340337,590
201300000124,13,9,17,1215,1,1,1,1,1,614,Rte Nationale,M,5016905,0345835,590
201300000125,13,9,22,1215,1,2,6,1,3,139,rue de wedel,M,5011107,0342828,590
201300000126,13,9,28,2015,3,2,1,1,6,139,Av Roger Salengro,M,5012363,0340868,590
201300000127,13,11,25,700,3,1,1,1,6,075,Rte de Quiévy,M,5013819,0341883,590
201300000128,13,12,5,800,2,1,1,1,1,139,route de Quiévy,M,5013542,0341808,590
201300000129,13,12,7,1030,1,2,1,1,3,139,Rue STEPHENSON,M,5012613,0342100,590
201300000130,13,12,19,730,5,2,1,8,6,139,Bd du 19 mars 1962,M,5011697,0341858,590
201300000131,13,12,19,1800,5,1,1,1,1,139,Rue Léon Gambetta,M,5012093,0340746,590
201300000132,13,12,24,1215,1,2,1,2,6,139,R de la République,M,5013225,0340248,590
201300000133,13,1,2,1100,1,2,1,1,6,118,57 RUE PASTEUR,M,5003383,0346948,590
201300000134,13,2,4,2230,5,2,1,1,6,624,32 R du Général Leclerc,M,5003298,0330268,590
201300000135,13,10,19,245,3,1,1,1,6,074,Rte départementale,M,5006280,0344001,590
201300000136,13,12,25,1330,1,1,1,6,6,149,Rte de Maretz,M,5006258,0341264,590
201300000137,13,3,29,2315,5,2,1,1,3,097,Route nationale,M,5014138,0303846,590
201300000138,13,6,18,1345,1,1,1,1,3,047,,M,5007399,0318009,590
201300000139,13,12,3,1845,3,1,2,1,5,176,Rte départementale,M,5013471,0300644,590
201300000140,13,12,10,1615,1,1,1,7,3,377,,M,5010035,0315972,590
201300000141,13,3,21,445,3,1,1,1,7,289,Rte départementale,M,5023214,0350474,590
201300000142,13,3,29,1645,1,2,7,1,6,289,Place Jean jaur?s,M,5021759,0347978,590
201300000143,13,4,10,1630,1,2,1,1,6,537,rue Villars,M,5024185,0351308,590
201300000144,13,5,24,1645,1,1,1,2,5,108,Rue Belle Vue,M,5016595,0349451,590
201300000145,13,5,26,1830,1,2,9,1,7,289,43 rue du Maréchal Foch,M,5022075,0347321,590
201300000146,13,7,19,1930,1,1,1,7,3,571,Rue de l'Abbaye,M,5016655,0349444,590
201300000147,13,1,16,1015,1,2,8,1,3,015,avenue de la gare,M,5029107,0311770,590
201300000148,13,2,3,930,1,2,1,1,6,228,Rue de Bapaume,M,5032157,0307159,590
